;Light;Temperature;Humidity;Soil_humidity;Plant Type;Time;Waterneed
197;579.0;19.0;40.0;96.0;Sanseveria;Wed Apr 10 10:09:30 2024;5
198;584.0;19.0;40.0;92.0;Sanseveria;Wed Apr 10 10:09:31 2024;5
199;585.0;19.0;40.0;90.0;Sanseveria;Wed Apr 10 10:09:31 2024;5
200;589.0;19.0;40.0;86.0;Sanseveria;Wed Apr 10 10:09:32 2024;5
201;588.0;19.0;40.0;88.0;Sanseveria;Wed Apr 10 10:09:33 2024;5
202;588.0;18.6;40.0;87.0;Sanseveria;Wed Apr 10 10:09:33 2024;5
203;594.0;18.6;40.0;82.0;Sanseveria;Wed Apr 10 10:09:34 2024;5
204;595.0;18.6;40.0;82.0;Sanseveria;Wed Apr 10 10:09:36 2024;5
205;595.0;18.6;40.0;83.0;Sanseveria;Wed Apr 10 10:09:36 2024;5
206;586.0;18.6;40.0;91.0;Sanseveria;Wed Apr 10 10:09:37 2024;5
207;593.0;18.6;40.0;83.0;Sanseveria;Wed Apr 10 10:09:38 2024;5
208;587.0;18.6;40.0;89.0;Sanseveria;Wed Apr 10 10:09:38 2024;5
209;586.0;18.6;40.0;90.0;Sanseveria;Wed Apr 10 10:09:39 2024;5
210;589.0;18.2;40.0;88.0;Sanseveria;Wed Apr 10 10:09:39 2024;5
211;590.0;18.2;39.0;87.0;Sanseveria;Wed Apr 10 10:09:40 2024;5
212;587.0;18.2;39.0;90.0;Sanseveria;Wed Apr 10 10:09:40 2024;5
213;584.0;18.2;39.0;92.0;Sanseveria;Wed Apr 10 10:09:41 2024;5
214;584.0;18.2;39.0;93.0;Sanseveria;Wed Apr 10 10:09:42 2024;5
215;586.0;18.2;39.0;92.0;Sanseveria;Wed Apr 10 10:09:43 2024;5
216;585.0;18.2;39.0;92.0;Sanseveria;Wed Apr 10 10:09:45 2024;5
217;585.0;17.8;39.0;93.0;Sanseveria;Wed Apr 10 10:09:48 2024;5
218;586.0;17.8;39.0;93.0;Sanseveria;Wed Apr 10 10:09:49 2024;5
219;587.0;17.8;39.0;93.0;Sanseveria;Wed Apr 10 10:09:51 2024;5
220;588.0;17.8;39.0;93.0;Sanseveria;Wed Apr 10 10:09:51 2024;5
221;588.0;17.4;39.0;93.0;Sanseveria;Wed Apr 10 10:09:52 2024;5
222;589.0;17.4;39.0;93.0;Sanseveria;Wed Apr 10 10:09:54 2024;5
223;589.0;17.4;38.0;93.0;Sanseveria;Wed Apr 10 10:09:55 2024;5
224;589.0;17.4;38.0;94.0;Sanseveria;Wed Apr 10 10:09:55 2024;5
225;590.0;17.4;38.0;93.0;Sanseveria;Wed Apr 10 10:09:57 2024;5
