Light,Temperature,Humidity,Soil_humidity,Plant Type,Time
578.0,26.2,54.0,71.0,Sanseveria,Wed Apr 10 10:04:44 2024
577.0,26.3,54.0,71.0,Sanseveria,Wed Apr 10 10:04:44 2024
578.0,26.7,54.0,71.0,Sanseveria,Wed Apr 10 10:04:45 2024
578.0,26.7,54.0,71.0,Sanseveria,Wed Apr 10 10:04:45 2024
581.0,26.7,54.0,71.0,Sanseveria,Wed Apr 10 10:04:46 2024
588.0,26.7,53.0,71.0,Sanseveria,Wed Apr 10 10:04:46 2024
Light,Temperature,Humidity,Soil_humidity,Plant Type,Time
594.0,22.6,47.0,88.0,Sanseveria,Wed Apr 10 10:08:22 2024
596.0,22.6,47.0,88.0,Sanseveria,Wed Apr 10 10:08:23 2024
597.0,22.6,47.0,88.0,Sanseveria,Wed Apr 10 10:08:23 2024
597.0,22.6,47.0,87.0,Sanseveria,Wed Apr 10 10:08:24 2024
598.0,22.6,47.0,87.0,Sanseveria,Wed Apr 10 10:08:24 2024
598.0,22.6,47.0,87.0,Sanseveria,Wed Apr 10 10:08:25 2024
598.0,22.6,47.0,87.0,Sanseveria,Wed Apr 10 10:08:25 2024
598.0,22.6,47.0,87.0,Sanseveria,Wed Apr 10 10:08:26 2024
599.0,22.6,47.0,87.0,Sanseveria,Wed Apr 10 10:08:26 2024
599.0,22.4,47.0,87.0,Sanseveria,Wed Apr 10 10:08:27 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:27 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:28 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:28 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:29 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:30 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:30 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:31 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:31 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:32 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:32 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:33 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:33 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:34 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:34 2024
599.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:35 2024
599.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:35 2024
599.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:36 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:36 2024
598.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:37 2024
579.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:37 2024
551.0,22.2,47.0,88.0,Sanseveria,Wed Apr 10 10:08:38 2024
535.0,22.2,47.0,76.0,Sanseveria,Wed Apr 10 10:08:38 2024
558.0,22.2,47.0,86.0,Sanseveria,Wed Apr 10 10:08:39 2024
584.0,22.2,47.0,82.0,Sanseveria,Wed Apr 10 10:08:39 2024
587.0,22.2,47.0,82.0,Sanseveria,Wed Apr 10 10:08:40 2024
588.0,22.2,47.0,82.0,Sanseveria,Wed Apr 10 10:08:41 2024
588.0,22.2,46.0,82.0,Sanseveria,Wed Apr 10 10:08:41 2024
588.0,22.2,46.0,83.0,Sanseveria,Wed Apr 10 10:08:42 2024
587.0,22.2,46.0,83.0,Sanseveria,Wed Apr 10 10:08:42 2024
587.0,22.2,46.0,82.0,Sanseveria,Wed Apr 10 10:08:43 2024
588.0,22.2,46.0,82.0,Sanseveria,Wed Apr 10 10:08:43 2024
590.0,21.8,46.0,79.0,Sanseveria,Wed Apr 10 10:08:44 2024
590.0,21.8,46.0,80.0,Sanseveria,Wed Apr 10 10:08:44 2024
588.0,21.8,45.0,80.0,Sanseveria,Wed Apr 10 10:08:45 2024
589.0,21.8,45.0,79.0,Sanseveria,Wed Apr 10 10:08:45 2024
587.0,21.8,45.0,82.0,Sanseveria,Wed Apr 10 10:08:46 2024
590.0,21.8,45.0,78.0,Sanseveria,Wed Apr 10 10:08:46 2024
591.0,21.8,45.0,76.0,Sanseveria,Wed Apr 10 10:08:47 2024
589.0,21.8,45.0,79.0,Sanseveria,Wed Apr 10 10:08:47 2024
589.0,21.8,45.0,79.0,Sanseveria,Wed Apr 10 10:08:48 2024
588.0,21.8,44.0,81.0,Sanseveria,Wed Apr 10 10:08:48 2024
583.0,21.8,44.0,87.0,Sanseveria,Wed Apr 10 10:08:49 2024
583.0,21.8,44.0,87.0,Sanseveria,Wed Apr 10 10:08:49 2024
584.0,21.8,44.0,86.0,Sanseveria,Wed Apr 10 10:08:50 2024
584.0,21.8,44.0,85.0,Sanseveria,Wed Apr 10 10:08:50 2024
582.0,21.4,44.0,88.0,Sanseveria,Wed Apr 10 10:08:51 2024
581.0,21.4,44.0,88.0,Sanseveria,Wed Apr 10 10:08:52 2024
580.0,21.4,44.0,89.0,Sanseveria,Wed Apr 10 10:08:52 2024
580.0,21.4,44.0,89.0,Sanseveria,Wed Apr 10 10:08:53 2024
579.0,21.4,44.0,89.0,Sanseveria,Wed Apr 10 10:08:53 2024
579.0,21.4,44.0,90.0,Sanseveria,Wed Apr 10 10:08:54 2024
